Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,D.C.,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2008,"44,476","63,989","46,914","39,586","57,014","60,943","64,682","50,702","55,590","44,857","46,227","61,521","47,420","53,254","46,520","50,142","47,877","41,148","39,563","47,228","63,711","60,320","49,788","54,925","36,446","46,038","42,900","50,728","54,744","66,176","65,306","42,102","50,461","42,930","49,631","46,934","46,111","51,727","51,402","53,241","42,155","51,600","39,702","46,490","62,537","50,706","61,985","56,631","37,994","51,200","53,337"
2009,"39,980","61,604","45,739","36,538","56,134","55,930","64,851","52,114","53,141","45,631","43,340","55,649","46,778","52,870","44,305","50,721","44,717","42,664","45,433","47,502","64,186","59,373","45,994","56,090","35,078","48,769","40,437","49,595","51,434","64,131","64,777","43,542","50,216","41,906","50,075","45,879","45,878","49,098","48,172","51,634","41,101","45,826","40,517","47,475","58,491","52,318","60,501","60,392","40,490","51,237","52,470"
2010,"40,933","57,848","46,896","38,587","54,283","60,233","65,998","55,214","56,928","44,066","44,117","59,539","47,050","50,728","46,139","49,016","46,054","41,104","39,300","47,931","64,201","60,934","46,276","52,321","38,160","45,817","41,280","52,504","51,200","66,633","62,968","45,134","49,781","43,830","51,006","45,886","43,103","50,602","48,314","51,623","41,698","45,352","38,591","47,266","56,701","55,928","60,367","56,163","42,777","50,351","52,201"
2011,"42,590","57,431","48,621","41,302","53,367","58,629","65,415","54,660","55,251","45,105","45,973","59,047","47,459","50,637","44,445","50,219","46,147","39,856","40,658","49,693","68,876","63,313","48,879","57,820","41,090","45,774","40,277","55,616","47,043","65,880","62,338","41,982","50,636","45,206","56,361","44,648","48,455","51,526","49,910","49,033","40,084","47,223","42,279","49,047","55,493","51,862","62,616","56,850","41,821","52,058","54,509"
2012,"43,464","63,648","47,044","39,018","57,020","57,255","64,247","48,972","65,246","46,071","48,121","56,263","47,922","51,738","46,158","53,442","50,003","41,086","39,085","49,158","71,836","63,656","50,015","61,795","36,641","49,764","45,088","52,196","47,333","67,819","66,692","43,424","47,680","41,553","55,766","44,375","48,407","51,775","51,904","56,065","44,401","49,415","42,995","51,926","58,341","55,582","64,632","62,187","43,553","53,079","57,512"
2013,"41,381","61,137","50,602","39,919","57,528","63,371","67,781","52,219","60,675","47,886","47,439","61,408","51,767","57,196","50,553","54,855","51,485","42,158","39,622","50,121","65,262","62,963","48,801","60,907","40,850","50,311","44,132","53,774","45,369","71,322","61,782","42,127","53,843","41,208","52,888","46,398","43,777","56,307","53,952","57,812","43,749","54,453","42,499","53,027","62,967","54,842","67,620","60,106","40,241","55,258","55,700"
2014,"42,278","67,629","49,254","44,922","60,487","60,940","70,161","57,522","68,277","46,140","49,555","71,223","53,438","54,916","48,060","57,810","53,444","42,786","42,406","51,710","76,165","63,151","52,005","67,244","35,521","56,630","51,102","56,870","49,875","73,397","65,243","46,686","54,310","46,784","60,730","49,644","47,199","58,875","55,173","58,633","44,929","53,053","43,716","53,875","63,383","60,708","66,155","59,068","39,552","58,080","55,690"
2015,"44,509","75,112","52,248","42,798","63,636","66,596","72,889","57,756","70,071","48,825","50,768","64,514","51,624","60,413","51,983","60,855","54,865","42,387","45,922","50,756","73,594","67,861","54,203","68,730","40,037","59,196","51,395","60,474","52,008","75,675","68,357","45,119","58,005","50,797","57,415","53,301","47,077","60,834","60,389","55,701","46,360","55,065","47,330","56,473","66,258","59,494","61,486","67,243","42,824","55,425","60,925"
2016,"47,221","75,723","57,100","45,907","66,637","70,566","75,923","58,046","70,982","51,176","53,527","72,133","56,564","61,386","56,094","59,094","56,810","45,369","42,196","50,856","73,760","72,266","57,091","70,218","41,099","55,016","57,075","59,374","55,431","76,260","68,468","48,451","61,437","53,764","60,184","53,985","50,943","59,135","60,979","61,528","54,336","57,450","51,344","58,146","67,481","60,837","66,451","70,310","44,354","59,817","57,829"
2017,"51,113","72,231","61,125","48,829","69,759","74,172","72,780","62,318","83,382","53,681","57,016","73,575","60,208","64,609","58,873","63,481","57,872","51,348","43,903","51,664","81,084","73,227","57,700","71,920","43,441","56,885","59,087","59,619","56,550","74,801","72,997","47,855","62,447","50,343","59,886","59,768","55,006","64,610","63,173","66,390","54,971","56,894","55,240","59,295","71,319","63,805","71,293","75,418","45,392","63,451","57,837"
2018,"49,936","68,734","62,283","49,781","70,489","73,034","72,812","65,012","85,750","54,644","55,821","80,108","58,728","70,145","59,892","68,718","63,938","54,555","49,973","58,663","86,223","86,345","60,449","71,817","42,781","61,726","57,679","67,575","61,864","81,346","74,176","48,283","67,274","53,369","66,505","61,633","54,434","69,165","64,524","62,266","57,444","59,463","56,060","59,785","77,067","70,066","77,151","79,726","50,573","62,629","62,539"